ActionType,ActionParameters,duration,,,,,,
Search,Vann from 1996-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Vann from 1996-01-01 to 2015-01-01 page 0,17,,,,,,
Search, from 1996-01-01 to 2015-01-01 page 0,9,,,,,,
EditNotes,VASTBTZ_revision_32_June_19_11:26_AM.patch,15,,,,,,
Search, from 1996-01-01 to 2015-01-01 page 0,5,,,,,,
Search,Vann from 1996-01-01 to 2015-01-01 page 0,7,,,,,,
Search, from 1996-01-01 to 2015-01-01 page 0,15,,,,,,
Search,Isia.Vann@gastech.com.kronos from 1996-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Isia.Vann@gastech.com.kronos from 1996-01-01 to 2015-01-01 page 0,3,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Isia.Vann@gastech.com.kronos from 1996-01-01 to 2015-01-01 page 1,11,,,,,,
Search,Isia.Vann@gastech.com.kronos from 1996-01-01 to 2015-01-01 page 0,95,,,,,,
GetDetail,Article 265,10,,,,,,
GetDetail,Article 227,13,,,,,,
EditNotes,VASTBTZ_revision_33_June_19_11:29_AM.patch,56,,,,,,
GetDetail,Article 56,18,,,,,,
Search,Vasco-Feed from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,Vasco-Feed from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
GetDetail,Article 336,47,,,,,,
Search,Vasco-Feed from 1982-01-01 to 2015-01-01 page 1,9,,,,,,
Search,Vasco-Feed from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Vasco from 1982-01-01 to 2015-01-01 page 0,9,,,,,,
Search,Vasco from 1982-01-01 to 2015-01-01 page 0,38,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,18,,,,,,
Search,Sten.Sanjorge Jr.@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,Sten.Sanjorge Jr.@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,14,,,,,,
Search,Sten.Sanjorge Jr.@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,12,,,,,,
Search,Sten.Sanjorge Jr.@gastech.com.kronos AND Ada.Campo-Corrente@gastech.com.kronos AND  from 1982-01-01 to 2015-01-01 page 0,12,,,,,,
Search,Sten.Sanjorge Jr.@gastech.com.kronos AND Ada.Campo-Corrente@gastech.com.kronos AND  from 1982-01-01 to 2015-01-01 page 0,15,,,,,,
Search,Sten.Sanjorge Jr.@gastech.com.kronos AND Ada.Campo-Corrente@gastech.com.kronos AND Ingrid.Barranco@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,Sten.Sanjorge Jr.@gastech.com.kronos AND Ada.Campo-Corrente@gastech.com.kronos AND Ingrid.Barranco@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,10,,,,,,
Search,Sten.Sanjorge Jr.@gastech.com.kronos AND Ada.Campo-Corrente@gastech.com.kronos AND Ingrid.Barranco@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,62,,,,,,
Search,FROM: Sten.Sanjorge Jr.@gastech.com.kronos AND Ada.Campo-Corrente@gastech.com.kronos AND Ingrid.Barranco@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
Search,From:Sten.Sanjorge Jr.@gastech.com.kronos AND Ada.Campo-Corrente@gastech.com.kronos AND Ingrid.Barranco@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,From:Sten.Sanjorge Jr.@gastech.com.kronos AND Ada.Campo-Corrente@gastech.com.kronos AND Ingrid.Barranco@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Sten.Sanjorge Jr.@gastech.com.kronos AND Ada.Campo-Corrente@gastech.com.kronos AND Ingrid.Barranco@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,11,,,,,,
Search,From: Sten.Sanjorge Jr.@gastech.com.kronos AND Ada.Campo-Corrente@gastech.com.kronos AND Ingrid.Barranco@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,Sten.Sanjorge Jr.@gastech.com.kronos AND Ada.Campo-Corrente@gastech.com.kronos AND Ingrid.Barranco@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,13,,,,,,
Search,Sten.Sanjorge Jr.@gastech.com.kronos AND Ada.Campo-Corrente@gastech.com.kronos AND Ingrid.Barranco@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,41,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,11,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,25,,,,,,
GetDetail,Bio-Ingrid%20Barranco.pdf,15,,,,,,
GetDetail,Bio-Sten%20SanjorgeJr.pdf,10,,,,,,
GetDetail,Bio-Willem%20Vasco.pdf,23,,,,,,
Search,Vasco from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,Vasco from 1982-01-01 to 2015-01-01 page 0,19,,,,,,
GetDetail,Article 291,8,,,,,,
GetDetail,Article 87,50,,,,,,
GetDetail,Article 375,25,,,,,,
Search,Vasco from 1982-01-01 to 2015-01-01 page 1,6,,,,,,
Search,Vasco from 1982-01-01 to 2015-01-01 page 0,15,,,,,,
GetDetail,Article 336,8,,,,,,
Search,Vasco from 1982-01-01 to 2015-01-01 page 1,7,,,,,,
GetDetail,Bio-Willem%20Vasco.pdf,11,,,,,,
Search,Isia from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Isia from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
GetDetail,Employee Record 49,90,,,,,,
Search,Rachel from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,Rachel from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
GetDetail,Employee Record 3,18,,,,,,
Search,Rachel from 1996-01-01 to 2015-01-01 page 1,1,,,,,,
Search,Rachel from 1996-01-01 to 2015-01-01 page 0,45,,,,,,
Search,Rachel from 1996-01-01 to 2015-01-01 page 0,45,,,,,,
Search,Rachel from 1996-01-01 to 2015-01-01 page 0,6,,,,,,
Search,Vann from 1996-01-01 to 2015-01-01 page 0,7,,,,,,
Search,Vann from 1996-01-01 to 2015-01-01 page 0,57,,,,,,
GetDetail,Article 213,41,,,,,,
GetDetail,Article 442,36,,,,,,
GetDetail,Article 198,26,,,,,,
GetDetail,Article 198,8,,,,,,
Search,Vann from 1996-01-01 to 2015-01-01 page 0,1,,,,,,
GetDetail,Resume-IsiaVann.pdf,16,,,,,,
Search,Abila from 1996-01-01 to 2015-01-01 page 0,7,,,,,,
Search,Abila from 1996-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Abila from 1996-01-01 to 2015-01-01 page 0,5,,,,,,
Search,Abila from 1996-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Abila from 1996-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Abila from 1996-01-01 to 2015-01-01 page 0,6,,,,,,
Search,Abila from 1996-01-01 to 2015-01-01 page 0,21,,,,,,
Search,Community from 1996-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Community from 1996-01-01 to 2015-01-01 page 0,5,,,,,,
Search,Community from 1996-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Community from 1996-01-01 to 2015-01-01 page 0,9,,,,,,
Search,Community from 1996-01-01 to 2015-01-01 page 0,5,,,,,,
Search,Community from 1996-01-01 to 2015-01-01 page 0,12,,,,,,
Search,Community from 1996-01-01 to 2015-01-01 page 0,37,,,,,,
Search, from 1996-01-01 to 2015-01-01 page 0,21,,,,,,
Search,Vann from 1996-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Vann from 1996-01-01 to 2015-01-01 page 0,18,,,,,,
Search,Security from 1996-01-01 to 2015-01-01 page 0,10,,,,,,
Search, from 1996-01-01 to 2015-01-01 page 0,2,,,,,,
GetDetail,Bio-Ada%20Campo.pdf,12,,,,,,
GetDetail,Resume-AdanMorlun.pdf,10,,,,,,
EditNotes,VASTBTZ_revision_34_June_19_11:50_AM.patch,85,,,,,,
GetDetail,Resume-AlbinaHafon.pdf,27,,,,,,
GetDetail,Resume-AndaRibera.pdf,13,,,,,,
GetDetail,Resume-AxelCalzas.pdf,7,,,,,,
GetDetail,Resume-BertrandOvan.pdf,9,,,,,,
GetDetail,Resume-CarlaForluniau.pdf,21,,,,,,
GetDetail,Resume-ClaudioHawelon.pdf,11,,,,,,
GetDetail,Resume-ClaudioHawelon.pdf,2,,,,,,
GetDetail,Resume-CarlaForluniau.pdf,11,,,,,,
GetDetail,Resume-ElsaOrilla.pdf,7,,,,,,
GetDetail,Resume-FelixBalas.pdf,7,,,,,,
GetDetail,Resume-IsiaVann.pdf,21,,,,,,
GetDetail,Resume-LindaLagos.pdf,8,,,,,,
GetDetail,Resume-LoretoBodrogi.pdf,17,,,,,,
GetDetail,Resume-RachelPantanal.pdf,10,,,,,,
GetDetail,Resume-SvenFlecha.pdf,10,,,,,,
GetDetail,Resume-SvenFlecha.pdf,2,,,,,,
GetDetail,Resume-StenigFusil.pdf,11,,,,,,
GetDetail,Resume-NilsCalixto.pdf,7,,,,,,
GetDetail,Resume-MarinOnda.pdf,8,,,,,,
GetDetail,Resume-LucasAlcazar.pdf,12,,,,,,
GetDetail,Resume-LoretoBodrogi.pdf,10,,,,,,
GetDetail,Resume-LinneaBergen.pdf,25,,,,,,
GetDetail,Resume-LindaLagos.pdf,23,,,,,,
GetDetail,Resume-LidelseDedos.pdf,16,,,,,,
GetDetail,Resume-LarsAzada.pdf,13,,,,,,
GetDetail,Resume-IsandeBorrasca.pdf,9,,,,,,
GetDetail,Resume-IsakBaza.pdf,13,,,,,,
GetDetail,Resume-IreneNant.pdf,17,,,,,,
GetDetail,Resume-HidekiCocinaro.pdf,34,,,,,,
GetDetail,Resume-FelixResumir.pdf,9,,,,,,
GetDetail,Resume-FelixBalas.pdf,14,,,,,,
GetDetail,Resume-AndaRibera.pdf,13,,,,,,
GetDetail,Resume-BertrandOvan.pdf,5,,,,,,
GetDetail,Resume-DanteCoginian.pdf,14,,,,,,
GetDetail,Resume-EmileArpa.pdf,0,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,0,,,,,,
Search,Mat.Bramar@gastech.com.kronos AND Anda.Ribera@gastech.com.kronos AND Rachel.Pantanal@gastech.com.kronos AND Linda.Lagos@gastech.com.kronos AND Ruscella.Mies.Haber@gastech.com.kronos AND Carla.Forluniau@gastech.com.kronos AND Cornelia.Lais@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,Mat.Bramar@gastech.com.kronos AND Anda.Ribera@gastech.com.kronos AND Rachel.Pantanal@gastech.com.kronos AND Linda.Lagos@gastech.com.kronos AND Ruscella.Mies.Haber@gastech.com.kronos AND Carla.Forluniau@gastech.com.kronos AND Cornelia.Lais@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,0,,,,,,
Search,Mat.Bramar@gastech.com.kronos AND Anda.Ribera@gastech.com.kronos AND Rachel.Pantanal@gastech.com.kronos AND Linda.Lagos@gastech.com.kronos AND Ruscella.Mies.Haber@gastech.com.kronos AND Carla.Forluniau@gastech.com.kronos AND Cornelia.Lais@gastech.com.kronos from 1982-01-01 to 2015-01-01 page 0,10,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,8,,,,,,
GetDetail,Employee Record 1,8,,,,,,
GetDetail,Employee Record 2,3,,,,,,
GetDetail,Employee Record 3,7,,,,,,
GetDetail,Employee Record 4,4,,,,,,
GetDetail,Employee Record 3,1,,,,,,
GetDetail,Employee Record 2,2,,,,,,
GetDetail,Employee Record 1,5,,,,,,
GetDetail,Employee Record 2,2,,,,,,
GetDetail,Employee Record 3,3,,,,,,
GetDetail,Employee Record 4,10,,,,,,
GetDetail,Employee Record 5,8,,,,,,
GetDetail,Employee Record 6,10,,,,,,
GetDetail,Employee Record 7,17,,,,,,
GetDetail,Employee Record 6,11,,,,,,
GetDetail,Resume-CarlaForluniau.pdf,44,,,,,,
GetDetail,Resume-LindaLagos.pdf,49,,,,,,
GetDetail,Resume-RachelPantanal.pdf,45,,,,,,
GetDetail,Resume-CorneliaLais.pdf,181,,,,,,
EditNotes,VASTBTZ_revision_37_June_20_8:28_AM.patch,79,,,,,,
Search,lais from 1982-01-01 to 2015-01-01 page 0,9,,,,,,
Search,lais from 1982-01-01 to 2015-01-01 page 0,25,,,,,,
Search,lais from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
EditNotes,VASTBTZ_revision_40_June_20_8:30_AM.patch,2,,,,,,
Search,Lais from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Lais from 1982-01-01 to 2015-01-01 page 0,0,,,,,,
Search,Wellness from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,Wellness from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
GetDetail,Article 396,35,,,,,,
GetDetail,Article 147,89,,,,,,
Search,fluss from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,fluss from 1982-01-01 to 2015-01-01 page 0,24,,,,,,
Search,fFuss from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,Fluss from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,Fluss from 1982-01-01 to 2015-01-01 page 0,28,,,,,,
GetDetail,Article 336,298,,,,,,
EditNotes,VASTBTZ_revision_41_June_20_8:53_AM.patch,360,,,,,,
EditNotes,VASTBTZ_revision_46_June_20_8:59_AM.patch,0,,,,,,
Search,Wildlands from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Wildlands from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,Wildland from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Wildland from 1982-01-01 to 2015-01-01 page 0,43,,,,,,
Search,Wildland from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
Search,Save from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Save from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,save from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,save from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
EditNotes,VASTBTZ_revision_47_June_20_9:03_AM.patch,79,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,9,,,,,,
GetDetail,Resume-CorneliaLais.pdf,10,,,,,,
GetDetail,Resume-IsiaVann.pdf,8,,,,,,
GetDetail,Resume-LarsAzada.pdf,42,,,,,,
GetDetail,Employee Record 7,31,,,,,,
GetDetail,Employee Record 45,17,,,,,,
GetDetail,Employee Record 33,17,,,,,,
GetDetail,Employee Record 49,3,,,,,,
GetDetail,Employee Record 47,51,,,,,,
Search,Mies from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
Search,Henk from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Henk from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
GetDetail,Article 40,21,,,,,,
Search,Mies from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,Mies from 1982-01-01 to 2015-01-01 page 0,12,,,,,,
GetDetail,Employee Record 33,2,,,,,,
GetDetail,Employee Record 47,3,,,,,,
GetDetail,Employee Record 33,1,,,,,,
GetDetail,Employee Record 47,1,,,,,,
GetDetail,Employee Record 33,6,,,,,,
GetDetail,Employee Record 5,5,,,,,,
GetDetail,Resume-MinkeMies.pdf,27,,,,,,
EditNotes,VASTBTZ_revision_49_June_20_9:09_AM.patch,13,,,,,,
GetDetail,Employee Record 5,3,,,,,,
GetDetail,Employee Record 33,1,,,,,,
GetDetail,Employee Record 47,16,,,,,,
Search,vann from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,vann from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
GetDetail,Employee Record 49,7,,,,,,
GetDetail,Employee Record 50,7,,,,,,
GetDetail,Employee Record 49,2,,,,,,
GetDetail,Resume-IsiaVann.pdf,7,,,,,,
Search,Mies from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Mies from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
GetDetail,Employee Record 33,2,,,,,,
GetDetail,Employee Record 47,2,,,,,,
GetDetail,Employee Record 33,3,,,,,,
GetDetail,Employee Record 5,1,,,,,,
GetDetail,Employee Record 33,2,,,,,,
GetDetail,Employee Record 47,10,,,,,,
GetDetail,Resume-MinkeMies.pdf,12,,,,,,
Search,Mies from 1982-01-01 to 2015-01-01 page 0,8,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
EditNotes,VASTBTZ_revision_50_June_20_9:11_AM.patch,36,,,,,,
Search,Isia from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Isia from 1982-01-01 to 2015-01-01 page 0,18,,,,,,
Search,Jakab from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Jakab from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,Jakab from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Jakab from 1982-01-01 to 2015-01-01 page 0,10,,,,,,
Search,Lucio from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Lucio from 1982-01-01 to 2015-01-01 page 0,15,,,,,,
Search,Stefano from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Stefano from 1982-01-01 to 2015-01-01 page 0,15,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Vann from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
GetDetail,Article 265,23,,,,,,
Search,HASR from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,HASR from 1982-01-01 to 2015-01-01 page 0,26,,,,,,
GetDetail,Article 349,10,,,,,,
GetDetail,Article 374,5,,,,,,
EditNotes,VASTBTZ_revision_51_June_20_9:14_AM.patch,6,,,,,,
GetDetail,Article 315,45,,,,,,
Search,HASR from 1982-01-01 to 2015-01-01 page 1,35,,,,,,
Search,save from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,Save from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Save from 1982-01-01 to 2015-01-01 page 0,11,,,,,,
Search,Marek from 1982-01-01 to 2015-01-01 page 0,9,,,,,,
Search,Marek from 1982-01-01 to 2015-01-01 page 0,11,,,,,,
Search,Mies from 1982-01-01 to 2015-01-01 page 0,12,,,,,,
Search,Mies AND Vann from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Mies AND Vann from 1982-01-01 to 2015-01-01 page 0,102,,,,,,
EditNotes,VASTBTZ_revision_52_June_20_9:18_AM.patch,60,,,,,,
EditNotes,VASTBTZ_revision_53_June_20_9:19_AM.patch,0,,,,,,
Search,Mies AND Vann AND Hennie from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
Search,Mies AND Vann AND Hennie from 1982-01-01 to 2015-01-01 page 0,22,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,32,,,,,,
GetDetail,Employee Record 52,16,,,,,,
EditNotes,VASTBTZ_revision_54_June_20_9:24_AM.patch,60,,,,,,
GetDetail,Employee Record 54,40,,,,,,
Search,Osvaldo from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Osvaldo from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
GetDetail,Employee Record 48,0,,,,,,
GetDetail,Article 43,16,,,,,,
GetDetail,Article 19,55,,,,,,
Search,Hennie from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,Hennie from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
GetDetail,Employee Record 48,15,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,11,,,,,,
Search,Bodfogi from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,Bodrogi from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,Bodrogi from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
GetDetail,Resume-LoretoBodrogi.pdf,25,,,,,,
GetDetail,Employee Record 52,8,,,,,,
GetDetail,Article 146,15,,,,,,
Search,RQS from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,RQS from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
GetDetail,Article 121,9,,,,,,
GetDetail,Article 265,14,,,,,,
GetDetail,Article 227,74,,,,,,
Search,APA from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,APA from 1982-01-01 to 2015-01-01 page 0,35,,,,,,
GetDetail,Article 81,45,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,46,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,0,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,0,,,,,,
Search,ferro from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,ferro from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,ferro from 1982-01-01 to 2015-01-01 page 0,8,,,,,,
Search,Ferro from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
Search,Ferro from 1982-01-01 to 2015-01-01 page 0,29,,,,,,
GetDetail,Article 47,252,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
GetDetail,Employee Record 46,21,,,,,,
GetDetail,Employee Record 53,6,,,,,,
GetDetail,Employee Record 54,11,,,,,,
GetDetail,Employee Record 45,21,,,,,,
GetDetail,Employee Record 44,6,,,,,,
GetDetail,Employee Record 43,3,,,,,,
GetDetail,Employee Record 42,1,,,,,,
GetDetail,Employee Record 41,3,,,,,,
GetDetail,Employee Record 40,6,,,,,,
GetDetail,Employee Record 39,5,,,,,,
GetDetail,Employee Record 38,14,,,,,,
GetDetail,Employee Record 37,5,,,,,,
GetDetail,Employee Record 38,2,,,,,,
GetDetail,Employee Record 37,3,,,,,,
GetDetail,Employee Record 36,4,,,,,,
Search,Scozzese from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Scozzese from 1982-01-01 to 2015-01-01 page 0,21,,,,,,
Search,Scozzese from 1982-01-01 to 2015-01-01 page 0,79,,,,,,
Search,Scozzese AND Vann from 1982-01-01 to 2015-01-01 page 0,9,,,,,,
Search,Scozzese AND Vann from 1982-01-01 to 2015-01-01 page 0,48,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
GetDetail,Article 56,13,,,,,,
GetDetail,Article 279,19,,,,,,
GetDetail,Article 162,38,,,,,,
GetDetail,Article 408,6,,,,,,
GetDetail,Article 27,9,,,,,,
GetDetail,Article 306,6,,,,,,
GetDetail,Article 322,0,,,,,,
GetDetail,Article 406,8,,,,,,
GetDetail,Article 227,143,,,,,,
Search,Felix from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Felix from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
GetDetail,Resume-FelixResumir.pdf,0,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,172,,,,,,
Search,truck from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search,truck from 1982-01-01 to 2015-01-01 page 0,73,,,,,,
GetDetail,Article 442,7,,,,,,
GetDetail,Article 434,10,,,,,,
GetDetail,Article 427,23,,,,,,
Search,kidnap from 1982-01-01 to 2015-01-01 page 0,8,,,,,,
Search,kidnap from 1982-01-01 to 2015-01-01 page 0,35,,,,,,
GetDetail,Article 162,38,,,,,,
GetDetail,Article 408,20,,,,,,
GetDetail,Article 322,11,,,,,,
GetDetail,Article 423,74,,,,,,
GetDetail,Article 3,11,,,,,,
GetDetail,Article 81,11,,,,,,
Search,kidnap from 1982-01-01 to 2015-01-01 page 1,3,,,,,,
GetDetail,Article 2,9,,,,,,
GetDetail,Article 434,0,,,,,,
Search,boat from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
Search,boat from 1982-01-01 to 2015-01-01 page 0,20,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,102,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
Search,Mies from 1982-01-01 to 2015-01-01 page 0,8,,,,,,
Search,Mies from 1982-01-01 to 2015-01-01 page 0,7,,,,,,
GetDetail,Employee Record 33,2,,,,,,
GetDetail,Employee Record 47,3,,,,,,
GetDetail,Employee Record 33,7,,,,,,
GetDetail,Employee Record 5,2,,,,,,
GetDetail,Resume-MinkeMies.pdf,23,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
GetDetail,Bio-Sten%20SanjorgeJr.pdf,50,,,,,,
GetDetail,Resume-CarlaForluniau.pdf,19,,,,,,
GetDetail,Resume-LoretoBodrogi.pdf,70,,,,,,
GetDetail,Resume-RachelPantanal.pdf,88,,,,,,
GetDetail,Resume-SvenFlecha.pdf,0,,,,,,
Search,Sanjorge from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Sanjorge from 1982-01-01 to 2015-01-01 page 0,25,,,,,,
Search,Sanjorge AND Mies from 1982-01-01 to 2015-01-01 page 0,9,,,,,,
Search,Sanjorge AND Mies from 1982-01-01 to 2015-01-01 page 0,75,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,0,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,0,,,,,,
EditNotes,VASTBW9_revision_1_July_17_9:47_AM.patch,90,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,26,,,,,,
Search,None from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
EditNotes,VASTBW9_revision_3_July_17_9:49_AM.patch,54,,,,,,
Search,POK from 1982-01-01 to 2015-01-01 page 0,16,,,,,,
Search,POK from 1982-01-01 to 2015-01-01 page 0,28,,,,,,
GetDetail,Article 198,25,,,,,,
Search,Protectors of Kronos from 1982-01-01 to 2015-01-01 page 0,11,,,,,,
Search,Protectors of Kronos from 1982-01-01 to 2015-01-01 page 0,15,,,,,,
Search,Protector from 1982-01-01 to 2015-01-01 page 0,8,,,,,,
Search,Protector from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
Search,Protector from 1982-01-01 to 2015-01-01 page 0,10,,,,,,
Search,Protector from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,9,,,,,,
Search,POK from 1982-01-01 to 2015-01-01 page 0,5,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,6,,,,,,
Search,POK from 1982-01-01 to 2015-01-01 page 0,48,,,,,,
Search,POK from 1982-01-01 to 2015-01-01 page 0,4,,,,,,
GetDetail,Article 227,50,,,,,,
EditNotes,VASTBW9_revision_6_July_17_9:54_AM.patch,104,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Sanjorge from 1982-01-01 to 2015-01-01 page 0,2,,,,,,
Search,Sanjorge from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
GetDetail,Bio-Sten%20SanjorgeJr.pdf,121,,,,,,
Search, from 1982-01-01 to 2015-01-01 page 0,3,,,,,,
Search,POK from 1982-01-01 to 2015-01-01 page 0,8,,,,,,
Search,POK from 1982-01-01 to 2015-01-01 page 0,1,,,,,,
GetDetail,Article 227,129,,,,,,
GetDetail,Article 162,49,,,,,,
GetDetail,Article 27,8,,,,,,
GetDetail,Article 50,7,,,,,,
GetDetail,Article 3,15,,,,,,
GetDetail,Article 86,18,,,,,,
GetDetail,Article 81,88,,,,,,
GetDetail,Article 50,12,,,,,,
GetDetail,Article 27,6,,,,,,
